Disease,state,year,Race,Sex,Age group,Transmission Category,Cases,turnout_rate
AIDS diagnoses,Alabama,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,466,12.7
AIDS diagnoses,Alaska,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,36,7.3
AIDS diagnoses,American Samoa,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Arizona,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,429,10.3
AIDS diagnoses,Arkansas,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,166,7.5
AIDS diagnoses,California,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4606,16.9
AIDS diagnoses,Colorado,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,334,9.4
AIDS diagnoses,Connecticut,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,589,21
AIDS diagnoses,Delaware,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,214,33.2
AIDS diagnoses,District of Columbia,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,743,153
AIDS diagnoses,Florida,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4712,35.1
AIDS diagnoses,Georgia,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1511,22.7
AIDS diagnoses,Guam,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1,0.8
AIDS diagnoses,Hawaii,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,122,12.2
AIDS diagnoses,Idaho,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,17,1.6
AIDS diagnoses,Illinois,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1478,14.6
AIDS diagnoses,Indiana,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,355,7.1
AIDS diagnoses,Iowa,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,81,3.3
AIDS diagnoses,Kansas,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,88,4
AIDS diagnoses,Kentucky,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,227,6.8
AIDS diagnoses,Louisiana,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,841,23.2
AIDS diagnoses,Maine,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,36,3.3
AIDS diagnoses,Maryland,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1482,34.2
AIDS diagnoses,Massachusetts,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,777,14.7
AIDS diagnoses,Michigan,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,665,8.2
AIDS diagnoses,Minnesota,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,178,4.4
AIDS diagnoses,Mississippi,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,393,17.1
AIDS diagnoses,Missouri,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,385,8.3
AIDS diagnoses,Montana,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,16,2.1
AIDS diagnoses,Nebraska,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,73,5.2
AIDS diagnoses,Nevada,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,276,16.9
AIDS diagnoses,New Hampshire,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,32,3.1
AIDS diagnoses,New Jersey,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1874,27.1
AIDS diagnoses,New Mexico,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,110,7.4
AIDS diagnoses,New York,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,7484,47.9
AIDS diagnoses,North Carolina,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,774,11.6
AIDS diagnoses,North Dakota,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,5,0.9
AIDS diagnoses,Northern Mariana Islands,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Ohio,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,587,6.3
AIDS diagnoses,Oklahoma,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,211,7.4
AIDS diagnoses,Oregon,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,202,7.1
AIDS diagnoses,Pennsylvania,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1615,15.8
AIDS diagnoses,Puerto Rico,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1154,38
AIDS diagnoses,Rhode Island,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,85,9.7
AIDS diagnoses,South Carolina,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,749,22.7
AIDS diagnoses,South Dakota,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,11,1.7
AIDS diagnoses,Tennessee,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,644,13.7
AIDS diagnoses,Texas,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2530,15.1
AIDS diagnoses,U.S. Virgin Islands,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,41,48.2
AIDS diagnoses,Utah,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,135,7.8
AIDS diagnoses,Vermont,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,21,4.1
AIDS diagnoses,Virginia,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,768,13.1
AIDS diagnoses,Washington,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,459,9.5
AIDS diagnoses,West Virginia,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,46,2.9
AIDS diagnoses,Wisconsin,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,190,4.2
AIDS diagnoses,Wyoming,2000,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,7,1.7
AIDS diagnoses,Alabama,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,407,11.1
AIDS diagnoses,Alaska,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,25,5
AIDS diagnoses,American Samoa,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2,5.3
AIDS diagnoses,Arizona,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,436,10.2
AIDS diagnoses,Arkansas,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,192,8.7
