Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,12.7,11.1,11,12.5,12.2,11.5,12.6,11,10.3,6.8,7.3
Alaska,7.3,5,4.9,4,6.6,4.8,5.5,5.3,3.4,2.8,6.5
Arizona,10.3,10.2,11.2,10.9,10.2,9.5,9.3,9.3,10.3,10.2,10.4
Arkansas,7.5,8.7,9.4,8.5,8,9.4,8.4,7.7,5.2,7.2,6.6
California,16.9,16.3,17.1,16.3,14.4,13.7,13.7,12.9,13,13.7,14
Colorado,9.4,7.6,8.3,8,7.8,8.8,8.5,8,8.2,7.2,7.9
Connecticut,21,19.5,21.3,19.6,17.2,15.7,14.1,12.5,9.9,9.7,13.4
Delaware,33.2,33.3,25,28,21.9,24.3,21.1,20.7,18.9,18.4,18.1
District of Columbia,153,146.8,213,184.6,167.7,144.3,148.9,141.5,116.6,121.1,130.6
Florida,35.1,33.5,31.1,32.3,35.7,30.5,28.6,27.2,28.1,26.8,23.4
Georgia,22.7,22.5,24,26.9,28.8,20.8,19.8,18.4,17.9,13.7,12
Hawaii,12.2,11.5,10.6,9.2,7.3,7.6,7,8.1,6.1,5.4,5.7
Idaho,1.6,1.9,2.9,1.9,1.8,2.4,1.9,1.3,2.9,2.2,3.9
Illinois,14.6,14.4,15.5,14,13.4,14.2,12.3,10.8,11.9,11.8,12.8
Indiana,7.1,7.1,7.9,7.9,7.2,7.1,6.4,6.6,7,7.2,6.8
Iowa,3.3,3.4,3.1,3,2.9,3.3,3.2,2.9,2.8,4,3.5
Kansas,4,4.5,4,5.9,4.6,6.1,4.3,6,4.7,4.7,4.4
Kentucky,6.8,6.9,7.2,5.8,6.5,5.3,6.5,7.2,7.5,5.5,6.2
Louisiana,23.2,24.7,27.2,24.9,24.3,22.6,22.4,23,24.2,22.7,24.4
Maine,3.3,3.1,4,3.9,3.8,3.8,4.3,4.5,4,3.6,3.1
Maryland,34.2,36.8,35.7,36.6,35.8,34.2,29.3,26.6,26,21.2,26.5
Massachusetts,14.7,13.4,13,11.4,12.9,12.9,12.5,10.8,9.2,11.2,15
Michigan,8.2,7.2,7.1,7.4,6.9,9,7.4,7.2,6.8,6,6.6
Minnesota,4.4,3.6,4.3,4.8,6.3,5.4,4.8,4.7,5.2,4.8,4.7
Mississippi,17.1,17.1,18.3,17.9,19.7,14.7,14.3,13.4,14.2,14.8,17.3
Missouri,8.3,8.4,8.7,8.3,8.7,8.5,8.3,8.5,8.4,8.8,8.2
Montana,2.1,1.6,1.9,1.1,2.4,2.5,2.1,1.4,2.9,2.9,2.5
Nebraska,5.2,5.3,4.7,4.5,5.7,5.5,4.9,4.7,5.2,4.6,6.7
Nevada,16.9,13.3,16.2,13.9,15.1,15.6,13,13.8,13.9,11.9,12.6
New Hampshire,3.1,3.2,3.9,4,4.1,3.3,3.3,3.2,2.3,3.9,2.9
New Jersey,27.1,24.6,22.6,19.6,20.2,19.1,17.1,18.3,16.6,18.1,18.6
New Mexico,7.4,6.8,6.4,7.8,7,6.7,5.8,7.4,6,6.4,6.5
New York,47.9,43.4,36.6,40.8,33.7,33.7,30.1,30.2,27.8,25.4,24.4
North Carolina,11.6,12.9,16.1,17.4,11.6,12.7,12.7,11.8,12.9,13.2,12.6
North Dakota,0.9,0.9,0.3,2.2,1.5,0.9,1.7,1.3,2,2.3,1
Ohio,6.3,6.1,6.4,8.4,6.8,6.5,6.9,6.2,6.9,7.5,8.1
Oklahoma,7.4,7.9,7,6.8,7.5,8.3,6.6,7.2,6.5,6,4.9
Oregon,7.1,6.9,7.8,7.7,8.1,7.7,7.9,6.5,6.5,6.5,6.2
Pennsylvania,15.8,15,14.3,13.4,13,11.6,15.9,13.5,11.1,10.8,10
Rhode Island,9.7,11,11.2,11.1,15.8,11.6,10.5,10.9,9.1,9.6,7.7
South Carolina,22.7,20.5,21.7,21.6,22,19,19.5,19.5,18.1,17.1,18.5
South Dakota,1.7,2.5,1.9,2.4,2.5,2,3.7,2,1.2,2.9,3.1
Tennessee,13.7,13.6,15.6,14.8,14.3,16.1,12.4,11.4,10.9,11.9,12.2
Texas,15.1,15.8,15.8,15.9,16.3,15.8,15.2,14.5,14.7,15.2,13.9
Utah,7.8,6.6,3.8,3.5,3.8,2.8,3.1,3.2,3.6,3.2,3
Vermont,4.1,2.9,3.5,3.3,1.7,1.5,3.6,1.8,2.7,1.1,0.6
Virginia,13.1,13.2,11.3,11.3,10.9,9.1,8.5,13.5,9.6,8.8,11.7
Washington,9.5,8.1,8.3,8.6,8.1,8,7.3,7,7.5,7.1,6.1
West Virginia,2.9,5.4,5.1,5.2,5.6,4.7,4.6,4.4,4.6,4.6,4.5
Wisconsin,4.2,4,3.7,3.6,4,4.1,3.4,3.9,3.5,3.8,3.7
Wyoming,1.7,1.4,2.6,3.1,2.6,1.6,1.6,2.2,2.3,2.2,3
American Samoa,0,5.3,0,0,0,0,0,0,0,0,0
Guam,0.8,8.8,5.2,2.5,1.7,2.4,0,2.4,4.1,0.8,1.2
Northern Mariana Islands,0,1.7,0,0,0,0,0,0,2.5,0,0
Puerto Rico,38,38.2,33.8,34,29,29.9,25.9,23.5,22.9,20.5,17.8
U.S. Virgin Islands,48.2,39.5,28.5,31.8,28.5,17.7,34.7,33.9,16.3,23.4,26.1
