symbol,date,price
world,Jan 1990,7.5
world,Jan 1991,9.9
world,Jan 1992,12
world,Jan 1993,13
world,Jan 1994,15
world,Jan 1995,17.5
world,Jan 1996,19
world,Jan 1997,22
world,Jan 1998,23
world,Jan 1999,25
world,Jan 2000,27
world,Jan 2001,28
world,Jan 2002,29.5
world,Jan 2003,30.2
world,Jan 2004,30.7
world,Jan 2005,31
world,Jan 2006,31.4
world,Jan 2007,31.8
world,Jan 2008,32.3
world,Jan 2009,32.9
world,Jan 2010,34
usa,Jan 1990,0.5
usa,Jan 1991,0.5
usa,Jan 1992,0.6
usa,Jan 1993,0.5
usa,Jan 1994,0.5
usa,Jan 1995,0.5
usa,Jan 1996,0.5
usa,Jan 1997,0.6
usa,Jan 1998,0.6
usa,Jan 1999,0.6
usa,Jan 2000,0.6
usa,Jan 2001,0.6
usa,Jan 2002,0.6
usa,Jan 2003,0.6
usa,Jan 2004,0.6
usa,Jan 2005,0.6
usa,Jan 2006,0.6
usa,Jan 2007,0.6
usa,Jan 2008,0.6
usa,Jan 2009,0.6
usa,Jan 2010,0.6
