year,ICPSR_State_Code,order,state,,vep_highest_office_rate,vep_total_ballots_turnoutRate,vap_turnout_rate,turnout_rate,winner,,voting_age_pop,percent_non_citizen,prison_pop,probation_pop,parole_pop,ineligible_felons_total,overseas_eligible_pop,voting_eligible_pop,highest_office_voters,total_turnout
2010,0,0,United States,USA,41.00%,41.70%,0.38,37.8,,,"236,022,989",8.60%,"1,608,162","1,321,051","629,644","3,244,035","4,972,217","217,411,031","89,099,476","90,732,693"
2010,41,1,Alabama,AL,43.10%,,0.41,40.8,,,"3,661,784",2.90%,"31,764","50,622","9,006","86,889","74,079","3,468,201","1,494,273",
2010,81,2,Alaska,AK,52.10%,52.70%,0.49,48.5,,,"528,744",4.50%,"5,597","6,959","2,089","13,601","60,686","491,311","256,192","258,746"
2010,61,3,Arizona,AZ,41.00%,41.50%,0.36,35.9,,,"4,807,398",10.20%,"40,130","52,316","7,993","96,443","90,036","4,218,550","1,727,791","1,750,840"
2010,42,4,Arkansas,AR,37.60%,37.50%,0.35,35.3,,,"2,216,171",3.70%,"16,204","26,995","21,106","53,752","43,963","2,079,611","781,333","779,957"
2010,71,5,California,CA,44.10%,45.00%,0.36,35.8,,,"28,167,234",18.00%,"165,062",0,"105,133","217,629","486,207","22,884,597","10,095,485","10,302,324"
2010,62,6,Colorado,CO,50.70%,,0.47,46.5,,,"3,843,619",7.50%,"22,815",0,"11,014","28,322","71,854","3,527,270","1,787,730",
2010,1,7,Connecticut,CT,46.00%,,0.42,41.7,,,"2,765,843",8.50%,"19,321",0,"2,894","20,768","45,799","2,508,961","1,153,115",
2010,11,8,Delaware,DC,47.20%,47.80%,0.44,44.1,,,"696,940",5.00%,"6,598","4,448",560,"11,326","12,658","650,777","307,402","310,946"
2010,55,9,District of Columbia,DE,28.80%,29.50%,0.26,26.2,,,"506,765",9.30%,0,0,0,0,"6,916","459,870","132,656","135,846"
2010,43,10,Florida,FL,41.80%,42.20%,0.36,36.3,,,"14,916,066",11.50%,"104,306","165,760","4,093","272,113","451,907","12,930,623","5,411,106","5,460,573"
2010,44,11,Georgia,GA,39.90%,40.60%,0.36,35.5,,,"7,255,919",7.60%,"56,432","185,286","25,091","254,264","141,001","6,452,100","2,576,161","2,620,146"
